Data_Type,Year,Month,Calculated_Duties
Calculated Duties,2008,3,12700277.00
Calculated Duties,2016,3,18010536.00
Calculated Duties,2003,12,7447410.00
Calculated Duties,2002,6,5120668.00
Calculated Duties,2013,5,12849564.00
Calculated Duties,2013,7,10163922.00
Calculated Duties,2001,2,6297447.00
Calculated Duties,2023,9,31550862.00
Calculated Duties,2014,4,17095583.00
Calculated Duties,2022,12,32025212.00
Calculated Duties,2018,10,159861520.00
Calculated Duties,2002,4,4847984.00
Calculated Duties,2005,2,8261585.00
Calculated Duties,2021,7,28166651.00
Calculated Duties,2020,5,14613967.00
Calculated Duties,2025,2,37850419.00
Calculated Duties,2003,7,7978467.00
Calculated Duties,2005,1,10602440.00
Calculated Duties,2001,3,7184865.00
Calculated Duties,2018,3,18385039.00
Calculated Duties,2017,1,16782072.00
Calculated Duties,2025,6,709060810.00
Calculated Duties,2011,5,9193784.00
Calculated Duties,2005,4,12005541.00
Calculated Duties,2017,8,16682124.00
Calculated Duties,2014,11,12964037.00
Calculated Duties,2015,7,15834705.00
Calculated Duties,2007,10,8365946.00
Calculated Duties,2010,10,7934092.00
Calculated Duties,2011,10,11164349.00
Calculated Duties,2012,2,10341599.00
Calculated Duties,2013,10,10444014.00
Calculated Duties,2009,8,7625187.00
Calculated Duties,2005,3,7516083.00
Calculated Duties,2001,9,5694251.00
Calculated Duties,2021,2,21845984.00
Calculated Duties,2015,6,16494881.00
Calculated Duties,2013,9,10336969.00
Calculated Duties,2004,10,12816735.00
Calculated Duties,2005,12,8116940.00
Calculated Duties,2023,4,27160551.00
Calculated Duties,2006,5,14615128.00
Calculated Duties,2024,10,35617625.00
Calculated Duties,2021,8,24716469.00
Calculated Duties,2006,11,7330661.00
Calculated Duties,2016,5,15852630.00
Calculated Duties,2019,12,20906552.00
Calculated Duties,2001,4,13280139.00
Calculated Duties,2019,4,128591451.00
Calculated Duties,2008,12,5850857.00
Calculated Duties,2007,12,8422122.00
Calculated Duties,2020,4,14642836.00
Calculated Duties,2023,1,30331507.00
Calculated Duties,2010,3,12004102.00
Calculated Duties,2004,5,8296055.00
Calculated Duties,2016,8,15400270.00
Calculated Duties,2002,1,7008086.00
Calculated Duties,2004,7,6173577.00
Calculated Duties,2022,5,33045153.00
Calculated Duties,2011,4,8942806.00
Calculated Duties,2015,5,15357285.00
Calculated Duties,2008,8,7166677.00
Calculated Duties,2025,3,660003129.00
Calculated Duties,2006,3,10810599.00
Calculated Duties,2025,5,567296128.00
Calculated Duties,2001,1,7920740.00
Calculated Duties,2017,4,18920786.00
Calculated Duties,2015,4,16394379.00
Calculated Duties,2015,9,21649754.00
Calculated Duties,2009,9,8651686.00
Calculated Duties,2001,11,5316502.00
Customs Value,2008,11,22652673402.00
Customs Value,2006,10,25500840452.00
Customs Value,2007,6,27620148302.00
Customs Value,2008,4,30818466291.00
Customs Value,2012,7,24844883157.00
Customs Value,2019,10,28535972562.00
Customs Value,2015,11,22883284278.00
Customs Value,2013,2,25836508323.00
Customs Value,2018,11,25805349991.00
Customs Value,2007,5,26963830507.00
Customs Value,2001,12,15114006697.00
Customs Value,2013,1,27920222945.00
Customs Value,2002,7,16066163099.00
Customs Value,2001,5,20119959107.00
Customs Value,2002,11,17561861973.00
Customs Value,2008,1,26383658567.00
Customs Value,2002,12,16622753852.00
Customs Value,2009,12,21365876076.00
Customs Value,2010,8,23378704201.00
Customs Value,2015,12,23520056850.00
Customs Value,2019,8,26752246805.00
Customs Value,2014,2,26090919139.00
Customs Value,2013,12,27291927219.00
Customs Value,2004,9,21898558007.00
Customs Value,2020,9,24632338630.00
Customs Value,2004,2,19398118029.00
Customs Value,2010,2,21090914184.00
Customs Value,2001,8,18188073954.00
Customs Value,2011,11,26093036292.00
Customs Value,2021,11,33828548354.00
Customs Value,2005,8,24821841175.00
Customs Value,2024,12,35540612668.00
Customs Value,2014,9,30735252819.00
Customs Value,2015,2,23370692393.00
Customs Value,2016,2,21770273578.00
Customs Value,2023,2,31635418049.00
Customs Value,2007,3,27320784678.00
Customs Value,2012,5,27814281477.00
