Year,Month,9. Trade policy
2014,4,28.51307036
2014,5,18.71843317
2014,6,15.21117762
2014,7,30.18134393
2014,8,22.49473842
2014,9,12.23521092
2014,10,15.87434515
2014,11,22.60756203
2014,12,17.73628999
2015,1,33.80775849
2015,2,15.41077941
2015,3,27.90761312
2015,4,41.60050261
2015,5,88.91986018
2015,6,100.8030356
2015,7,51.49281968
2015,8,20.8295755
2015,9,19.60964023
2015,10,68.60896335
2015,11,20.50312163
2015,12,20.47554582
2016,1,42.78112265
2016,2,26.27214184
2016,3,49.18794314
2016,4,42.92338837
2016,5,76.84801711
2016,6,271.0724618
2016,7,116.3026366
2016,8,155.274315
2016,9,93.07944424
2016,10,83.53837134
2016,11,540.4187013
2016,12,275.1201726
2017,1,474.802707
2017,2,250.1330932
2017,3,151.9431208
2017,4,153.3501148
2017,5,87.26751116
2017,6,86.85827933
2017,7,92.14345484
2017,8,91.35106687
2017,9,76.29107825
2017,10,96.87297138
2017,11,49.48116142
2017,12,182.2997218
2018,1,247.7868184
2018,2,69.09474188
2018,3,524.6518637
2018,4,463.1806534
2018,5,283.0838211
2018,6,688.399638
2018,7,904.719141
2018,8,469.2929477
2018,9,323.3911903
2018,10,443.2303028
2018,11,403.0774932
2018,12,681.8718892
2019,1,715.6202325
2019,2,307.0927214
2019,3,287.6653463
2019,4,335.6749897
2019,5,786.542093
2019,6,1374.280098
2019,7,600.7882291
2019,8,1946.683
2019,9,919.115347
2019,10,842.413192
2019,11,597.6178517
2019,12,851.9762629
2020,1,646.8181515
2020,2,462.9823234
2020,3,194.8283473
2020,4,239.9328319
2020,5,161.4769416
2020,6,57.08624723
2020,7,89.80996066
2020,8,150.9314028
2020,9,96.58192221
2020,10,331.1962545
2020,11,204.6083444
2020,12,123.5840211
2021,1,72.34517325
2021,2,52.34835213
2021,3,47.67384775
2021,4,72.41908746
2021,5,42.69327133
2021,6,40.7505728
2021,7,20.80792612
2021,8,31.87457747
2021,9,7.672618434
2021,10,40.94271457
2021,11,53.02295866
2021,12,24.9304574
2022,1,37.45707675
2022,2,113.8312137
2022,3,70.31172101
2022,4,44.53789358
2022,5,78.17805781
2022,6,97.34233246
2022,7,71.54507409
2022,8,150.4923023
2022,9,50.42583302
2022,10,92.84087645
2022,11,81.30889157
2022,12,16.20506893
2023,1,100.5323689
2023,2,26.53255624
2023,3,85.59266483
2023,4,46.17331264
2023,5,90.05827838
2023,6,45.43764737
2023,7,6.467276665
2023,8,31.83132511
2023,9,25.78583854
2023,10,33.34133131
2023,11,17.446395
2023,12,18.73614385
2024,1,45.16141209
2024,2,220.0677702
2024,3,44.78382596
2024,4,46.12796575
2024,5,128.7960009
2024,6,66.3686195
2024,7,161.2128012
2024,8,221.5917592
2024,9,94.8840395
2024,10,194.7561369
2024,11,1401.67955
2024,12,1319.005944
2025,1,1725.709654
2025,2,2583.898793
2025,3,5912.107657
2025,4,7955.646982
2025,5,5780.037066
2025,6,3542.941329
2025,7,3402.787089
"Source: “Measuring Economic Policy Uncertainty” by Scott Baker, Nicholas Bloom and Steven J. Davis at www.PolicyUncertainty.com.  These data can be used freely with attribution to the authors, the paper, and the website.",,
